"","code","name","min_negotiated_price","max_negotiated_price"
"33","CPT-0013M","onc mrna 5 genes ur alg risk recr urothelial",636.12,1696.32
"34","CPT-0013U","onc sld orgn neo gene reargmt dna frsh frzn t",2196.12,5856.31
"35","CPT-00140","Anesth N Block/Inj Prone",3,7.27
"36","CPT-00142","Anesth N Block/Inj Prone",3,7.27
"37","CPT-00144","Anesth N Block/Inj Prone",3,7.27
"38","CPT-00145","Anesth N Block/Inj Prone",3,7.27
"39","CPT-00147","Anesth N Block/Inj Prone",3,7.27
"40","CPT-00148","Anesth N Block/Inj Prone",3,7.27
"41","CPT-0014U","hem hmtlmf neo gene reargmt dna whl bld/marro",2196.12,5856.31
"42","CPT-00160","Anesth N Block/Inj Prone",3,7.27
"43","CPT-00162","Anesth N Block/Inj Prone",3,7.27
"44","CPT-00164","Anesth N Block/Inj Prone",3,7.27
"45","CPT-0016U","onc hmtlmf neo rna bcr/abl1 bld/bne marrow",172.05,458.81
"46","CPT-00170","Anesth N Block/Inj Prone",3,7.27
"47","CPT-00172","Anesth N Block/Inj Prone",3,7.27
"48","CPT-00176","Anesth N Block/Inj Prone",3,7.27
"49","CPT-0017U","onc hmtlmf neo jak2 mutation dna bld/bne marr",96.19,256.51
"50","CPT-0018U","onc thyr 10 microrna seq +/- rslt mod hi rsk",2836.97,7565.26
"51","CPT-00190","Anesth N Block/Inj Prone",3,7.27
"52","CPT-00192","Anesth N Block/Inj Prone",3,7.27
"53","CPT-0019U","onc rna whl transciptome seq tiss predct alg",3472.88,9261
"54","CPT-00210","Anesth N Block/Inj Prone",3,7.27
"55","CPT-00211","Anesth N Block/Inj Prone",3,7.27
"56","CPT-00212","Anesth N Block/Inj Prone",3,7.27
"57","CPT-00214","Anesth N Block/Inj Prone",3,7.27
"58","CPT-00215","Anesth N Block/Inj Prone",3,7.27
"59","CPT-00216","Anesth N Block/Inj Prone",3,7.27
"60","CPT-00218","Anesth N Block/Inj Prone",3,7.27
"61","CPT-0021U","onc prst8 detcj 8 autoantibodies alg rsk scor",581.4,1550.4
"62","CPT-00220","Anesth N Block/Inj Prone",3,7.27
"63","CPT-00222","Anesth N Block/Inj Prone",3,7.27
"64","CPT-0022U","trgt gen seq alys cca&nonsm lng neo dna&rna 1",1684.8,4492.8
"65","CPT-0023U","onc aml dna gntyp int tandem dup detcj/nondet",190.11,506.95
"66","CPT-0024U","glyca nuc mr spectroscopy quantitative",26.15,69.74
"67","CPT-0025U","tenofovir liq chrom tandem mass spect ur quan",65.61,174.96
"68","CPT-0026U","onc thyr dna&mrna 112 genes fna ndul alg alys",2754,7344
"69","CPT-0027U","jak2 gene analysis trgt seq alys exons 12-15",127.94,341.16
"70","CPT-0029U","rx metab advrs rx rxn & rspse trgt seq alys",627.96,1674.55
"71","CPT-00300","Anesth N Block/Inj Prone",3,7.27
"72","CPT-0030U","rx metab warfarin rx response trgt seq alys",103.81,276.84
"73","CPT-0031A","imm admn sarscov2 ad26 5x1010vp/0.5 ml 1 dose",47.1,65.47
"74","CPT-0031U","cyp1a2 gene analysis common variants",134.67,359.11
"75","CPT-00320","Anesth N Block/Inj Prone",3,7.27
"76","CPT-00322","Anesth N Block/Inj Prone",3,7.27
"77","CPT-00326","Anesth N Block/Inj Prone",3,7.27
"78","CPT-0032U","comt gene analysis c.472g>a variant",135.31,360.82
"79","CPT-0033U","htr2a htr2c gene analysis common variants",270.61,721.63
"80","CPT-0034A","imm admn sarscov2 ad26 5x1010 vp/0.5 ml bst d",47.1,65.47
"81","CPT-0034U","tpmt nudt15 gene analysis common variants",359.76,959.35
"82","CPT-00350","Anesth N Block/Inj Prone",3,7.27
"83","CPT-00352","Anesth N Block/Inj Prone",3,7.27
"84","CPT-0035U","neuro csf detcj prion prtn quakg conf conv qu",452.81,1207.49
"85","CPT-0036U","exome tumor tissue & normal specimen seq alys",4000.86,10668.96
"86","CPT-0037U","trgt gen seq alys sld orgn neo dna 324 genes",3024,8064
"87","CPT-0039U","dna antibody double stranded high avidity",10.51,28.03
"88","CPT-00400","Anesth N Block/Inj Prone",3,7.27
"89","CPT-00402","Anesth N Block/Inj Prone",3,7.27
"90","CPT-00404","Anesth N Block/Inj Prone",3,7.27
"91","CPT-00406","Anesth N Block/Inj Prone",3,7.27
"92","CPT-0040U","bcr/abl1 gene tlcj alys major bp quantitative",430.14,1147.03
"93","CPT-00410","Anesth N Block/Inj Prone",3,7.27
"94","CPT-0041U","b burgdorferi antb 5 prtn grp immunoblot igm",13.17,35.11
"95","CPT-0042T","cerebral perfusion analys ct w/blood flow&vol",298.05,1367.62
"96","CPT-0042U","b burgdorferi antb 12 prtn grp immunoblot igg",13.17,35.11
"97","CPT-0043U","tbrf b grp antb detcj 4 recomb prtn imunoblt",11.37,30.31
"98","CPT-0044U","tbrf b grp antb detcj 4 recomb prtn imunoblt",11.37,30.31
"99","CPT-00450","Anesth N Block/Inj Prone",3,7.27
"100","CPT-00454","Anesth N Block/Inj Prone",3,7.27
"101","CPT-0045U","onc brst dux carc is mrna 12 genes alg rsk sc",2962.85,7900.92
"102","CPT-0046U","flt3 gene int tandem dupl variants quantitati",127.63,340.34
"103","CPT-00470","Anesth N Block/Inj Prone",3,7.27
"104","CPT-00472","Anesth N Block/Inj Prone",3,7.27
"105","CPT-00474","Anesth N Block/Inj Prone",3,7.27
"106","CPT-0047U","onc prst8 mrna gen xprs prfl 17 gen alg rsk s",2962.85,7900.92
"107","CPT-0048U","onc sld org neo dna 468 cancer associated gen",2233.49,5955.98
"108","CPT-0049U","npm1 gene analysis quantitative",190.11,506.95
"109","CPT-00500","Anesth N Block/Inj Prone",3,7.27
"110","CPT-0050U","trgt gen seq alys aml 194 gene interrog seq v",2257.45,6019.87
"111","CPT-0051A","imm admn sarscov2 30mcg/0.3ml tris-sucrose 1s",47.1,65.47
"112","CPT-0051U","rx mntr drugs present lc-ms/ms ur/bld 31 rx p",149.93,399.82
"113","CPT-00520","Anesth N Block/Inj Prone",3,7.27
"114","CPT-00522","Anesth N Block/Inj Prone",3,7.27
"115","CPT-00524","Anesth N Block/Inj Prone",3,7.27
"116","CPT-00528","Anesth N Block/Inj Prone",3,7.27
"117","CPT-00529","Anesth N Block/Inj Prone",3,7.27
"118","CPT-0052A","imm admn sarscov2 30mcg/0.3ml tris-sucrose 2n",47.1,65.47
"119","CPT-0052U","lpoprtn bld w/5 maj class auto prfl ucentrfug",26.21,69.89
"120","CPT-00530","Anesth N Block/Inj Prone",3,7.27
"121","CPT-00532","Anesth N Block/Inj Prone",3,7.27
"122","CPT-00534","Anesth N Block/Inj Prone",3,7.27
"123","CPT-00537","Anesth N Block/Inj Prone",3,7.27
"124","CPT-00539","Anesth N Block/Inj Prone",3,7.27
"125","CPT-0053A","imm admn sarscov2 30mcg/0.3ml tris-sucrose 3r",47.1,65.47
"126","CPT-0053U","onc prst8 ca fish alys 4 genes ndl bx spec al",1571.22,4189.92
"127","CPT-00540","Anesth N Block/Inj Prone",3,7.27
"128","CPT-00541","Anesth N Block/Inj Prone",3,7.27
"129","CPT-00542","Anesth N Block/Inj Prone",3,7.27
"130","CPT-00546","Anesth N Block/Inj Prone",3,7.27
"131","CPT-00548","Anesth N Block/Inj Prone",3,7.27
"132","CPT-0054A","imm admn sarscov2 30mcg/0.3ml tris-sucrose bs",47.1,65.47
"133","CPT-0054T","cptr-asst muscskel navigj ortho fluor images",169.27,646.01
"134","CPT-0054U","rx mntr 14+ class drugs & sbsts capillary blo",115.3,307.46
"135","CPT-00550","Anesth N Block/Inj Prone",3,7.27
"136","CPT-0055U","card hrt trnspl 96 target dna sequences plasm",2507.76,6687.36
"137","CPT-00560","Anesth N Block/Inj Prone",3,7.27
"138","CPT-00561","Anesth N Block/Inj Prone",3,7.27
"139","CPT-00562","Anesth N Block/Inj Prone",3,7.27
"140","CPT-00563","Anesth N Block/Inj Prone",3,7.27
"141","CPT-00566","Anesth N Block/Inj Prone",3,7.27
"142","CPT-00567","Anesth N Block/Inj Prone",3,7.27
"143","CPT-0056U","hem aml dna gene rearrangement blood/bone mar",1947.08,5192.21
"144","CPT-00580","Anesth N Block/Inj Prone",3,7.27
"145","CPT-0058U","onc merkel cell carc detcj antb serum quan",249.97,666.6
"146","CPT-0059U","onc merkel cell carc detcj antb serum reprtd",249.97,666.6
"147","CPT-00600","Anesth N Block/Inj Prone",3,7.27
"148","CPT-00604","Anesth N Block/Inj Prone",3,7.27
"149","CPT-0060U","twn zyg gen trgt seq alys chrms2 ftl dna mat",661.5,1764
"150","CPT-0061U","tc meas 5 biomarkers w/sfdi multi-spectral al",21.92,58.44
"151","CPT-00620","Anesth N Block/Inj Prone",3,7.27
"152","CPT-00625","Anesth N Block/Inj Prone",3,7.27
"153","CPT-00626","Anesth N Block/Inj Prone",3,7.27
"154","CPT-00630","Anesth N Block/Inj Prone",3,7.27
"155","CPT-00632","Anesth N Block/Inj Prone",3,7.27
"156","CPT-00635","Anesth N Block/Inj Prone",3,7.27
"157","CPT-00640","Anesth N Block/Inj Prone",3,7.27
"158","CPT-0064A","imm admn sarscov2 50 mcg/0.25 ml booster dose",47.1,65.47
"159","CPT-0064U","antibody treponema pallidum total & rpr ia qu",27.35,72.94
"160","CPT-0065U","syphilis tst non-treponemal antibody ia qual",15.8,42.12
"161","CPT-0066U","pamg-1 ia w/dir opt obs cervico-vag flu ea sp",13.35,35.59
"162","CPT-00670","Anesth N Block/Inj Prone",3,7.27
"163","CPT-0068U","candida species panel amp prb tq w/qual repor",124.52,332.04
"164","CPT-0069U","onc clrct microrna xprs prfl mir-31-3p alg",290.7,775.2
"165","CPT-00700","Anesth N Block/Inj Prone",3,7.27
"166","CPT-00702","Anesth N Block/Inj Prone",3,7.27
"167","CPT-0070U","cyp2d6 gene analysis common & select rare vrn",523.51,1396.03
"168","CPT-0071A","imm admn sarscov2 10mcg/0.2ml tris-sucrose 1s",47.1,65.47
"169","CPT-0071T","us ablatj uterine leiomyomata < 200 cc tissue",Inf,-Inf
"170","CPT-0071U","cyp2d6 gene analysis full gene sequence",233.24,621.98
"171","CPT-0072A","imm admn sarscov2 10mcg/0.2ml tris-sucrose 2n",47.1,65.47
"172","CPT-0072T","us ablatj uterine leiomyomat >/equal 200 cc t",Inf,-Inf
"173","CPT-0072U","cyp2d6 gene trgt seq alys cyp2d6-2d7 hybrid g",349,930.67
"174","CPT-00730","Anesth N Block/Inj Prone",3,7.27
"175","CPT-00731","Anesth N Block/Inj Prone",3,7.27
"176","CPT-00732","Anesth N Block/Inj Prone",3,7.27
"177","CPT-0073A","imm admn sarscov2 10mcg/0.2ml tris-sucrose 3r",47.1,65.47
"178","CPT-0073U","cyp2d6 gene trgt seq alys cyp2d7-2d6 hybrid g",349,930.67
"179","CPT-0074A","ADM SARSCV2 10MCG TRS-SUCR B",47.1,65.47
"180","CPT-0074U","cyp2d6 trgt seq alys nondup gene dupl/mlt tra",349,930.67
"181","CPT-00750","Anesth N Block/Inj Prone",3,7.27
"182","CPT-00752","Anesth N Block/Inj Prone",3,7.27
"183","CPT-00754","Anesth N Block/Inj Prone",3,7.27
"184","CPT-00756","Anesth N Block/Inj Prone",3,7.27
"185","CPT-0075T","tcat plmt xtrc vrt crtd stent rs&i prq 1st vs",152.88,2917.4
"186","CPT-0075U","cyp2d6 gene trgt seq alys 5' gene dupl/mlt",349,930.67
"187","CPT-0076T","tcat plmt xtrc vrt crtd stent rs&iprq ea vsl",138.09,2634.87
"188","CPT-0076U","cyp2d6 gene trgt seq alys 3' gene dupl/mlt",349,930.67
"189","CPT-00770","Anesth N Block/Inj Prone",3,7.27
"190","CPT-0078U","pain mgt opioid use do gnotyp pnl 16 cmn vrnt",344.94,919.85
"191","CPT-00790","Anesth N Block/Inj Prone",3,7.27
"192","CPT-00792","Anesth N Block/Inj Prone",3,7.27
"193","CPT-00794","Anesth N Block/Inj Prone",3,7.27
"194","CPT-00796","Anesth N Block/Inj Prone",3,7.27
"195","CPT-00797","Anesth N Block/Inj Prone",3,7.27
"196","CPT-00800","Anesth N Block/Inj Prone",3,7.27
"197","CPT-00802","Anesth N Block/Inj Prone",3,7.27
"198","CPT-0080U","onc lung 5 clinical risk factors alg prblty m",2692.8,7180.8
"199","CPT-00811","Anesth N Block/Inj Prone",3,7.27
"200","CPT-00812","Anesth N Block/Inj Prone",3,7.27
"201","CPT-00813","Anesth N Block/Inj Prone",3,7.27
"202","CPT-00820","Anesth N Block/Inj Prone",3,7.27
"203","CPT-0082U","rx tst def 90+ rx/sbsts ur reprt pres/abs ea",188.89,503.71
"204","CPT-00830","Anesth N Block/Inj Prone",3,7.27
"205","CPT-00832","Anesth N Block/Inj Prone",3,7.27
"206","CPT-00834","Anesth N Block/Inj Prone",3,7.27
"207","CPT-00836","Anesth N Block/Inj Prone",3,7.27
"208","CPT-00840","Anesth N Block/Inj Prone",3,7.27
"209","CPT-00844","Anesth N Block/Inj Prone",3,7.27
"210","CPT-00846","Anesth N Block/Inj Prone",3,7.27
"211","CPT-00848","Anesth N Block/Inj Prone",3,7.27
"212","CPT-0084U","rbc dna gnotyp 10 bld grp phnt predict 37 rbc",550.8,1468.8
"213","CPT-00851","Anesth N Block/Inj Prone",3,7.27
"214","CPT-00860","Anesth N Block/Inj Prone",3,7.27
"215","CPT-00862","Anesth N Block/Inj Prone",3,7.27
"216","CPT-00864","Anesth N Block/Inj Prone",3,7.27
"217","CPT-00865","Anesth N Block/Inj Prone",3,7.27
"218","CPT-00866","Anesth N Block/Inj Prone",3,7.27
"219","CPT-00868","Anesth N Block/Inj Prone",3,7.27
"220","CPT-00870","Anesth N Block/Inj Prone",3,7.27
"221","CPT-00872","Anesth N Block/Inj Prone",3,7.27
"222","CPT-00873","Anesth N Block/Inj Prone",3,7.27
"223","CPT-0087U","card hrt trnspl mrna gen xprs prfl 1283 gene",2616,6976.01
"224","CPT-00880","Anesth N Block/Inj Prone",3,7.27
"225","CPT-00882","Anesth N Block/Inj Prone",3,7.27
"226","CPT-0088U","trnsplj med kdn algrft rej 1494 genes alg",2616,6976.01
"227","CPT-0089U","onc mlnma gen xprs prfl rtqpcr prame & linc00",581.4,1550.4
"228","CPT-00902","Anesth N Block/Inj Prone",3,7.27
"229","CPT-00904","Anesth N Block/Inj Prone",3,7.27
"230","CPT-00906","Anesth N Block/Inj Prone",3,7.27
"231","CPT-00908","Anesth N Block/Inj Prone",3,7.27
"232","CPT-0090U","onc cutan mlnma mrna gen xprs prfl 23 genes a",1491.75,3978
"233","CPT-00910","Anesth N Block/Inj Prone",3,7.27
"234","CPT-00912","Anesth N Block/Inj Prone",3,7.27
"235","CPT-00914","Anesth N Block/Inj Prone",3,7.27
"236","CPT-00916","Anesth N Block/Inj Prone",3,7.27
"237","CPT-00918","Anesth N Block/Inj Prone",3,7.27
"238","CPT-00920","Anesth N Block/Inj Prone",3,7.27
"239","CPT-00921","Anesth N Block/Inj Prone",3,7.27
"240","CPT-00922","Anesth N Block/Inj Prone",3,7.27
"241","CPT-00924","Anesth N Block/Inj Prone",3,7.27
"242","CPT-00926","Anesth N Block/Inj Prone",3,7.27
"243","CPT-00928","Anesth N Block/Inj Prone",3,7.27
"244","CPT-00930","Anesth N Block/Inj Prone",3,7.27
"245","CPT-00932","Anesth N Block/Inj Prone",3,7.27
"246","CPT-00934","Anesth N Block/Inj Prone",3,7.27
"247","CPT-00936","Anesth N Block/Inj Prone",3,7.27
"248","CPT-00938","Anesth N Block/Inj Prone",3,7.27
"249","CPT-0093U","rx mntr 65 com drugs lc-ms/ms ur detc/not det",47.54,126.77
"250","CPT-00940","Anesth N Block/Inj Prone",3,7.27
"251","CPT-00942","Anesth N Block/Inj Prone",3,7.27
"252","CPT-00944","Anesth N Block/Inj Prone",3,7.27
"253","CPT-00948","Anesth N Block/Inj Prone",3,7.27
"254","CPT-0094A","ADM SARSCOV2 50 MCG/.5 MLBST",47.1,65.47
"255","CPT-0094U","genome rapid sequence analysis",6278.06,16741.49
"256","CPT-00952","Anesth N Block/Inj Prone",3,7.27
"257","CPT-0096U","hpv high risk types male urine",26.85,71.59
"258","CPT-0100T","plmt scjncl rta prosth&pls&impltj intra-oc rt",Inf,-Inf
"259","CPT-0101T","extracorporeal shock wave muscskel sys nos",Inf,-Inf
"260","CPT-0101U","hered colon ca do gen seq alys panel 15 genes",905.43,2414.47
"261","CPT-0102T","esw by phys w/anes invg lat humerl epicondyle",Inf,-Inf
"262","CPT-0102U","hered brst ca rltd do gen seq alys pnl 17 gen",865.31,2307.5
"263","CPT-0103U","hered ovarian cancer gen seq alys panel 24 ge",865.31,2307.5
"264","CPT-0105U","nephrology ckd eclia tumor necrosis alg rkfd",735.3,1960.8
"265","CPT-0106T","quant sensory test&interpj/xtr w/touch stimul",Inf,-Inf
"266","CPT-0107T","quant sensory test&interpj/xtr w/vibrj stimul",Inf,-Inf
"267","CPT-0107U","c diff toxin antigen detcj ia tech stool qual",12.38,33.02
"268","CPT-0108T","quant sensory test&interpj/xtr w/cool stimuli",Inf,-Inf
"269","CPT-0109T","quant senaory test&interpj/xtr w/ht-pn stimul",Inf,-Inf
"270","CPT-0109U","id aspergillus dna 4 species bld lvg flu/tiss",124.52,332.04
"271","CPT-0110T","quant sensory test&interpj/xtr other stimuli",Inf,-Inf
"272","CPT-0110U","rx mntr 1+oral onc rx&sbsts srm/plsm cap/ven",20.74,55.3
"273","CPT-01112","Anesth N Block/Inj Prone",3,7.27
"274","CPT-0111U","oncology colon cancer trgt kras&nras gene aly",521.96,1391.88
"275","CPT-01120","Anesth N Block/Inj Prone",3,7.27
"276","CPT-01130","Anesth N Block/Inj Prone",3,7.27
"277","CPT-0113U","oncology prst8 meas pca3&tmprss2-erg ur&psa s",581.4,1550.4
"278","CPT-01140","Anesth N Block/Inj Prone",3,7.27
"279","CPT-0114U","gi barretts esophagus vim&ccna1 mthyltn alys",1604.67,4279.13
"280","CPT-01150","Anesth N Block/Inj Prone",3,7.27
"281","CPT-01160","Anesth N Block/Inj Prone",3,7.27
"282","CPT-0116U","rx mntr nzm ia 35+drugs lc-ms/ms oral fluid a",188.89,503.71
"283","CPT-01170","Anesth N Block/Inj Prone",3,7.27
"284","CPT-01173","Anesth N Block/Inj Prone",3,7.27
"285","CPT-0118U","transplantation med quan don-drv cll-fr dna p",2279.69,6079.18
"286","CPT-01200","Anesth N Block/Inj Prone",3,7.27
"287","CPT-01202","Anesth N Block/Inj Prone",3,7.27
"288","CPT-0120U","onc b cll lymphm mrna gene xprsn prfl 58 gen",2133.68,5689.8
"289","CPT-01210","Anesth N Block/Inj Prone",3,7.27
"290","CPT-01212","Anesth N Block/Inj Prone",3,7.27
"291","CPT-01214","Anesth N Block/Inj Prone",3,7.27
"292","CPT-01215","Anesth N Block/Inj Prone",3,7.27
"293","CPT-0121U","sickle cell disease vcam-1 whole blood",421.61,1124.3
"294","CPT-01220","Anesth N Block/Inj Prone",3,7.27
"295","CPT-0122U","sickle cell disease p-selectin whole blood",435.72,1161.91
"296","CPT-01230","Anesth N Block/Inj Prone",3,7.27
"297","CPT-01232","Anesth N Block/Inj Prone",3,7.27
"298","CPT-01234","Anesth N Block/Inj Prone",3,7.27
"299","CPT-0123U","mchnl frglty rbc shear strs&spectral alys prf",296.12,789.65
"300","CPT-01250","Anesth N Block/Inj Prone",3,7.27
"301","CPT-01260","Anesth N Block/Inj Prone",3,7.27
"302","CPT-01270","Anesth N Block/Inj Prone",3,7.27
"303","CPT-01272","Anesth N Block/Inj Prone",3,7.27
"304","CPT-01274","Anesth N Block/Inj Prone",3,7.27
"305","CPT-0129U","hereditary brst ca rltd do gen seq&del/dup pn",865.31,2307.5
"306","CPT-0130U","hereditary colon ca do trgt mrna seq alys pan",452.71,1207.22
"307","CPT-0131U","hered brst ca rltd do trgt mrna seq alys 13 g",587.88,1567.68
"308","CPT-01320","Anesth N Block/Inj Prone",3,7.27
"309","CPT-0132U","hered ova ca rltd do trgt mrna seq alys 17 ge",614.08,1637.54
"310","CPT-0133U","hered prst8 ca rltd do trgt mrna seq alys 11",571.56,1524.17
"311","CPT-01340","Anesth N Block/Inj Prone",3,7.27
"312","CPT-0134U","hereditary pan ca trgt mrna seq alys 18 gene",619.67,1652.45
"313","CPT-0135U","hereditary gyn ca trgt mrna seq alys 12 gene",580.06,1546.85
"314","CPT-01360","Anesth N Block/Inj Prone",3,7.27
"315","CPT-0136U","atm mrna sequence analysis",337.35,899.62
"316","CPT-0137U","palb2 mrna sequence analysis",234.22,624.6
"317","CPT-01380","Anesth N Block/Inj Prone",3,7.27
"318","CPT-01382","Anesth N Block/Inj Prone",3,7.27
"319","CPT-0138U","brca1 brca2 mrna sequence analysis",387.77,1034.06
"320","CPT-01390","Anesth N Block/Inj Prone",3,7.27
"321","CPT-01392","Anesth N Block/Inj Prone",3,7.27
"322","CPT-01400","Anesth N Block/Inj Prone",3,7.27
"323","CPT-01402","Anesth N Block/Inj Prone",3,7.27
"324","CPT-01404","Anesth N Block/Inj Prone",3,7.27
"325","CPT-01420","Anesth N Block/Inj Prone",3,7.27
"326","CPT-01430","Anesth N Block/Inj Prone",3,7.27
"327","CPT-01432","Anesth N Block/Inj Prone",3,7.27
"328","CPT-01440","Anesth N Block/Inj Prone",3,7.27
"329","CPT-01442","Anesth N Block/Inj Prone",3,7.27
"330","CPT-01444","Anesth N Block/Inj Prone",3,7.27
"331","CPT-01462","Anesth N Block/Inj Prone",3,7.27
"332","CPT-01464","Anesth N Block/Inj Prone",3,7.27
"333","CPT-0146U","drug assay def 80+ rx/metabolites urine w/mrm",95.78,255.41
"334","CPT-01470","Anesth N Block/Inj Prone",3,7.27
"335","CPT-01472","Anesth N Block/Inj Prone",3,7.27
"336","CPT-01474","Anesth N Block/Inj Prone",3,7.27
"337","CPT-0147U","drug assay def 85+ rx/metabolites urine w/mrm",95.78,255.41
"338","CPT-01480","Anesth N Block/Inj Prone",3,7.27
"339","CPT-01482","Anesth N Block/Inj Prone",3,7.27
"340","CPT-01484","Anesth N Block/Inj Prone",3,7.27
"341","CPT-01486","Anesth N Block/Inj Prone",3,7.27
"342","CPT-0148U","drug assay def 100+ rx/metabolites urine w/mr",95.78,255.41
"343","CPT-01490","Anesth N Block/Inj Prone",3,7.27
"344","CPT-0149U","drug assay def 60+ rx/metabolites urine w/mrm",95.78,255.41
"345","CPT-01500","Anesth N Block/Inj Prone",3,7.27
"346","CPT-01502","Anesth N Block/Inj Prone",3,7.27
"347","CPT-01520","Anesth N Block/Inj Prone",3,7.27
"348","CPT-01522","Anesth N Block/Inj Prone",3,7.27
"349","CPT-0153U","onc breast mrna gene expression prfl 101 gene",2616,6976.01
"350","CPT-0154U","onc urothelial cancer rna rt-pcr fgfr3 gene a",171.65,520
"351","CPT-0155U","onc brst ca dna pik3ca gene alys brst tum tis",227.56,606.82
"352","CPT-0156U","copy number sequence analysis",1440.72,3841.92
"353","CPT-0157U","apc gene mrna sequence analysis",234.22,624.6
"354","CPT-0158U","mlh1 gene mrna sequence analysis",234.22,624.6
"355","CPT-0159U","msh2 gene mrna sequence analysis",234.22,624.6
"356","CPT-0160U","msh6 gene mrna sequence analysis",234.22,624.6
"357","CPT-01610","Anesth N Block/Inj Prone",3,7.27
"358","CPT-0161U","pms2 gene mrna sequence analysis",234.22,624.6
"359","CPT-01620","Anesth N Block/Inj Prone",3,7.27
"360","CPT-01622","Anesth N Block/Inj Prone",3,7.27
"361","CPT-0162U","hered colon ca targeted mrna sequence alys pa",402.86,1074.29
"362","CPT-01630","Anesth N Block/Inj Prone",3,7.27
"363","CPT-01634","Anesth N Block/Inj Prone",3,7.27
"364","CPT-01636","Anesth N Block/Inj Prone",3,7.27
"365","CPT-01638","Anesth N Block/Inj Prone",3,7.27
"366","CPT-01650","Anesth N Block/Inj Prone",3,7.27
"367","CPT-01652","Anesth N Block/Inj Prone",3,7.27
"368","CPT-01654","Anesth N Block/Inj Prone",3,7.27
"369","CPT-01656","Anesth N Block/Inj Prone",3,7.27
"370","CPT-01670","Anesth N Block/Inj Prone",3,7.27
"371","CPT-01680","Anesth N Block/Inj Prone",3,7.27
"372","CPT-0169U","nudt15 & tpmt gene analysis common variants",385.99,1029.31
"373","CPT-0170U","neuro asd rna next-gnrj seq saliva alg alys",1453.14,3875.04
"374","CPT-01710","Anesth N Block/Inj Prone",3,7.27
"375","CPT-01712","Anesth N Block/Inj Prone",3,7.27
"376","CPT-01714","Anesth N Block/Inj Prone",3,7.27
"377","CPT-01716","Anesth N Block/Inj Prone",3,7.27
"378","CPT-0172U","onc sld tum somatic mut alys brca1 brca2 alg",2508.84,6690.24
"379","CPT-01730","Anesth N Block/Inj Prone",3,7.27
"380","CPT-01732","Anesth N Block/Inj Prone",3,7.27
"381","CPT-0173U","psychiatry gen alys pnl w/variant alys 14 gen",385.99,1029.31
"382","CPT-01740","Anesth N Block/Inj Prone",3,7.27
"383","CPT-01742","Anesth N Block/Inj Prone",3,7.27
"384","CPT-01744","Anesth N Block/Inj Prone",3,7.27
"385","CPT-01756","Anesth N Block/Inj Prone",3,7.27
"386","CPT-01758","Anesth N Block/Inj Prone",3,7.27
